"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Morning workout ☀️","Sep 25, 2026, 9:07 AM","Sep 25, 2026, 9:58 AM","","Triceps Pushdown",,"",0,"normal",50,10,,,
"Morning workout ☀️","Sep 25, 2026, 9:07 AM","Sep 25, 2026, 9:58 AM","","Triceps Pushdown",,"",1,"normal",50,10,,,
"Morning workout ☀️","Sep 25, 2026, 9:07 AM","Sep 25, 2026, 9:58 AM","","Triceps Pushdown",,"",2,"normal",45,12,,,
"Morning workout ☀️","Sep 25, 2026, 9:07 AM","Sep 25, 2026, 9:58 AM","","EZ Bar Biceps Curl",,"",0,"normal",10,12,,,
"Morning workout ☀️","Sep 25, 2026, 9:07 AM","Sep 25, 2026, 9:58 AM","","EZ Bar Biceps Curl",,"",1,"normal",15,8,,,
"Morning workout ☀️","Sep 25, 2026, 9:07 AM","Sep 25, 2026, 9:58 AM","","EZ Bar Biceps Curl",,"",2,"normal",15,13,,,
"Morning workout ☀️","Sep 25, 2026, 9:07 AM","Sep 25, 2026, 9:58 AM","","Single Arm Triceps Pushdown (Cable)",,"",0,"normal",5,10,,,
"Morning workout ☀️","Sep 25, 2026, 9:07 AM","Sep 25, 2026, 9:58 AM","","Single Arm Triceps Pushdown (Cable)",,"",1,"normal",5,10,,,
"Morning workout ☀️","Sep 25, 2026, 9:07 AM","Sep 25, 2026, 9:58 AM","","Triceps Dip (Weighted)",,"",0,"normal",10,7,,,
"Morning workout ☀️","Sep 25, 2026, 9:07 AM","Sep 25, 2026, 9:58 AM","","Triceps Dip (Weighted)",,"",1,"normal",10,8,,,
"Morning workout ☀️","Sep 25, 2026, 9:07 AM","Sep 25, 2026, 9:58 AM","","Triceps Dip (Weighted)",,"",2,"normal",10,8,,,
"Morning workout ☀️","Sep 25, 2026, 9:07 AM","Sep 25, 2026, 9:58 AM","","Seated Incline Curl (Dumbbell)",,"",0,"normal",12.5,8,,,
"Morning workout ☀️","Sep 25, 2026, 9:07 AM","Sep 25, 2026, 9:58 AM","","Seated Incline Curl (Dumbbell)",,"",1,"normal",12.5,8,,,
"Morning workout ☀️","Sep 25, 2026, 9:07 AM","Sep 25, 2026, 9:58 AM","","Seated Incline Curl (Dumbbell)",,"",2,"normal",12.5,8,,,
"Morning workout ☀️","Sep 25, 2026, 9:07 AM","Sep 25, 2026, 9:58 AM","","Seated Lateral Raise (Dumbbell)",,"",0,"normal",5,10,,,
"Morning workout ☀️","Sep 25, 2026, 9:07 AM","Sep 25, 2026, 9:58 AM","","Seated Lateral Raise (Dumbbell)",,"",1,"normal",5,10,,,
"Morning workout ☀️","Sep 24, 2026, 6:46 AM","Sep 24, 2026, 7:59 AM","","Bench Press (Barbell)",,"",0,"normal",80,7,,,
"Morning workout ☀️","Sep 24, 2026, 6:46 AM","Sep 24, 2026, 7:59 AM","","Bench Press (Barbell)",,"",1,"normal",80,6,,,
"Morning workout ☀️","Sep 24, 2026, 6:46 AM","Sep 24, 2026, 7:59 AM","","Bench Press (Barbell)",,"",2,"normal",80,7,,,
"Morning workout ☀️","Sep 24, 2026, 6:46 AM","Sep 24, 2026, 7:59 AM","","Lat Pulldown - Close Grip (Cable)",,"",0,"normal",55,7,,,
"Morning workout ☀️","Sep 24, 2026, 6:46 AM","Sep 24, 2026, 7:59 AM","","Lat Pulldown - Close Grip (Cable)",,"",1,"normal",50,7,,,
"Morning workout ☀️","Sep 24, 2026, 6:46 AM","Sep 24, 2026, 7:59 AM","","Lat Pulldown - Close Grip (Cable)",,"",2,"normal",50,9,,,
"Morning workout ☀️","Sep 24, 2026, 6:46 AM","Sep 24, 2026, 7:59 AM","","Shoulder Press (Dumbbell)",,"",0,"normal",20,8,,,
"Morning workout ☀️","Sep 24, 2026, 6:46 AM","Sep 24, 2026, 7:59 AM","","Shoulder Press (Dumbbell)",,"",1,"normal",22.5,6,,,
"Morning workout ☀️","Sep 24, 2026, 6:46 AM","Sep 24, 2026, 7:59 AM","","Shoulder Press (Dumbbell)",,"",2,"normal",22.5,7,,,
"Morning workout ☀️","Sep 24, 2026, 6:46 AM","Sep 24, 2026, 7:59 AM","","Lateral Raise (Cable)",,"",0,"normal",5,10,,,
"Morning workout ☀️","Sep 24, 2026, 6:46 AM","Sep 24, 2026, 7:59 AM","","Lateral Raise (Cable)",,"",1,"normal",5,10,,,
"Morning workout ☀️","Sep 24, 2026, 6:46 AM","Sep 24, 2026, 7:59 AM","","Lateral Raise (Cable)",,"",2,"normal",5,12,,,
"Morning workout ☀️","Sep 24, 2026, 6:46 AM","Sep 24, 2026, 7:59 AM","","Chest Fly (Machine)",,"",0,"normal",40,10,,,
"Morning workout ☀️","Sep 24, 2026, 6:46 AM","Sep 24, 2026, 7:59 AM","","Chest Fly (Machine)",,"",1,"normal",60,10,,,
"Morning workout ☀️","Sep 24, 2026, 6:46 AM","Sep 24, 2026, 7:59 AM","","Chest Fly (Machine)",,"",2,"normal",60,10,,,
"Morning workout ☀️","Sep 24, 2026, 6:46 AM","Sep 24, 2026, 7:59 AM","","Reverse Fly Single Arm (Cable)",,"",0,"normal",5,10,,,
"Morning workout ☀️","Sep 24, 2026, 6:46 AM","Sep 24, 2026, 7:59 AM","","Reverse Fly Single Arm (Cable)",,"",1,"normal",5,10,,,
"Morning workout ☀️","Sep 24, 2026, 6:46 AM","Sep 24, 2026, 7:59 AM","","Reverse Fly Single Arm (Cable)",,"",2,"normal",5,10,,,
"Morning workout ☀️","Sep 24, 2026, 6:46 AM","Sep 24, 2026, 7:59 AM","","Hanging Knee Raise",,"",0,"normal",,10,,,
"Morning workout ☀️","Sep 24, 2026, 6:46 AM","Sep 24, 2026, 7:59 AM","","Hanging Knee Raise",,"",1,"normal",,10,,,
"Morning workout ☀️","Sep 24, 2026, 6:46 AM","Sep 24, 2026, 7:59 AM","","Hanging Knee Raise",,"",2,"normal",,10,,,
"Morning workout ☀️","Sep 24, 2026, 6:46 AM","Sep 24, 2026, 7:59 AM","","Cable Crunch",,"",0,"normal",50,10,,,
"Morning workout ☀️","Sep 24, 2026, 6:46 AM","Sep 24, 2026, 7:59 AM","","Cable Crunch",,"",1,"normal",50,10,,,
"Morning workout ☀️","Sep 24, 2026, 6:46 AM","Sep 24, 2026, 7:59 AM","","Cable Crunch",,"",2,"normal",50,10,,,
